"","Database"
"1","information_schema"
"2","sigehoslgc_sadop"
"3","sigehoslgc_salvarez"
"4","sigehoslgc_salvear"
"5","sigehoslgc_sameghino"
"6","sigehoslgc_sapalvarez"
"7","sigehoslgc_sapargerich"
"8","sigehoslgc_sapdurand"
"9","sigehoslgc_sapfernandez"
"10","sigehoslgc_sappenna"
"11","sigehoslgc_sappinero"
"12","sigehoslgc_sappirovano"
"13","sigehoslgc_sapramosmejia"
"14","sigehoslgc_sapsantojanni"
"15","sigehoslgc_saptornu"
"16","sigehoslgc_sapvelez"
"17","sigehoslgc_sapzubizarreta"
"18","sigehoslgc_sargerich"
"19","sigehoslgc_sbarrio20"
"20","sigehoslgc_sbarrio2124"
"21","sigehoslgc_sbarriobalvanera"
"22","sigehoslgc_sbarriocarrillo"
"23","sigehoslgc_sbatransplantes"
"24","sigehoslgc_sborda"
"25","sigehoslgc_scarrillo"
"26","sigehoslgc_scemar1"
"27","sigehoslgc_scemar2"
"28","sigehoslgc_scertificados"
"29","sigehoslgc_scesac1"
"30","sigehoslgc_scesac10"
"31","sigehoslgc_scesac11"
"32","sigehoslgc_scesac12"
"33","sigehoslgc_scesac13"
"34","sigehoslgc_scesac14"
"35","sigehoslgc_scesac15"
"36","sigehoslgc_scesac16"
"37","sigehoslgc_scesac17"
"38","sigehoslgc_scesac18"
"39","sigehoslgc_scesac19"
"40","sigehoslgc_scesac2"
"41","sigehoslgc_scesac20"
"42","sigehoslgc_scesac21"
"43","sigehoslgc_scesac22"
"44","sigehoslgc_scesac24"
"45","sigehoslgc_scesac25"
"46","sigehoslgc_scesac26"
"47","sigehoslgc_scesac27"
"48","sigehoslgc_scesac28"
"49","sigehoslgc_scesac29"
"50","sigehoslgc_scesac3"
"51","sigehoslgc_scesac30"
"52","sigehoslgc_scesac31"
"53","sigehoslgc_scesac32"
"54","sigehoslgc_scesac33"
"55","sigehoslgc_scesac34"
"56","sigehoslgc_scesac35"
"57","sigehoslgc_scesac36"
"58","sigehoslgc_scesac37"
"59","sigehoslgc_scesac38"
"60","sigehoslgc_scesac39"
"61","sigehoslgc_scesac4"
"62","sigehoslgc_scesac40"
"63","sigehoslgc_scesac41"
"64","sigehoslgc_scesac43"
"65","sigehoslgc_scesac44"
"66","sigehoslgc_scesac45"
"67","sigehoslgc_scesac46"
"68","sigehoslgc_scesac47"
"69","sigehoslgc_scesac48"
"70","sigehoslgc_scesac49"
"71","sigehoslgc_scesac5"
"72","sigehoslgc_scesac6"
"73","sigehoslgc_scesac7"
"74","sigehoslgc_scesac8"
"75","sigehoslgc_scesac9"
"76","sigehoslgc_scsm1"
"77","sigehoslgc_scurie"
"78","sigehoslgc_sdgsaludmental"
"79","sigehoslgc_sdonacionplasma"
"80","sigehoslgc_sduenas"
"81","sigehoslgc_sdurand"
"82","sigehoslgc_selizalde"
"83","sigehoslgc_sesterilizacionramos"
"84","sigehoslgc_sextrahospitalarios"
"85","sigehoslgc_sfernandez"
"86","sigehoslgc_sferrer"
"87","sigehoslgc_sgrierson"
"88","sigehoslgc_sgutierrez"
"89","sigehoslgc_shcampana"
"90","sigehoslgc_sinmunizaciones"
"91","sigehoslgc_sirep"
"92","sigehoslgc_sjjoo"
"93","sigehoslgc_slagleyze"
"94","sigehoslgc_smoyano"
"95","sigehoslgc_smuniz"
"96","sigehoslgc_spenna"
"97","sigehoslgc_spinero"
"98","sigehoslgc_spirovano"
"99","sigehoslgc_spsumar"
"100","sigehoslgc_squemados"
"101","sigehoslgc_squinquela"
"102","sigehoslgc_sramosmejia"
"103","sigehoslgc_srdgdispositivosturistas"
"104","sigehoslgc_sresidenciagorriti"
"105","sigehoslgc_sresidenciawarnes"
"106","sigehoslgc_srivadavia"
"107","sigehoslgc_srocca"
"108","sigehoslgc_ssame"
"109","sigehoslgc_ssantalucia"
"110","sigehoslgc_ssantojanni"
"111","sigehoslgc_ssarda"
"112","sigehoslgc_sssplanificacion"
"113","sigehoslgc_stalleresprotegidos"
"114","sigehoslgc_stango2"
"115","sigehoslgc_stango3"
"116","sigehoslgc_stango4"
"117","sigehoslgc_stango5"
"118","sigehoslgc_sterminaldellepiane"
"119","sigehoslgc_stobar"
"120","sigehoslgc_stornu"
"121","sigehoslgc_stprotegidos"
"122","sigehoslgc_sturnoscops"
"123","sigehoslgc_sudaondo"
"124","sigehoslgc_sunidadsanitaria"
"125","sigehoslgc_svelez"
"126","sigehoslgc_szubizarreta"
